2,907
3,440
4,326
5,198
6,131
7,116
8,105
9,76
10,40
11,36
12,41
13,28
14,30
15,14
16,19
17,15
18,13
19,12
20,15
21,6
22,11
23,7
24,8
25,4
26,7
27,3
28,4
29,4
30,5
31,7
32,3
33,4
34,8
35,2
36,3
37,8
38,5
40,3
41,4
42,4
43,2
44,3
45,1
46,1
47,1
48,2
49,3
50,3
51,1
53,3
54,3
55,1
57,3
58,1
59,1
60,1
62,2
63,3
64,1
65,2
67,1
68,1
75,2
76,1
78,2
79,1
83,1
85,1
94,1
96,1
99,2
101,1
104,1
108,1
111,1
115,1
121,1
126,1
138,1
141,1
152,1
159,1
160,1
163,1
187,1
196,1
202,1
216,1
218,1
219,1
269,1
324,1
375,1
379,1
