2,1282,2564
3,629,1887
4,430,1720
5,278,1390
6,184,1104
7,147,1029
8,136,1088
9,110,990
10,67,670
11,39,429
12,54,648
13,33,429
14,34,476
15,35,525
16,27,432
17,21,357
18,23,414
19,23,437
20,15,300
21,15,315
22,25,550
23,14,322
24,9,216
25,6,150
26,5,130
27,8,216
28,9,252
29,7,203
30,7,210
31,9,279
32,5,160
33,7,231
34,6,204
35,3,105
36,2,72
37,10,370
38,8,304
39,4,156
40,5,200
41,3,123
42,3,126
43,3,129
44,4,176
45,2,90
46,1,46
47,3,141
48,2,96
49,4,196
50,3,150
51,5,255
53,4,212
54,2,108
56,1,56
57,3,171
58,2,116
59,1,59
60,1,60
61,2,122
62,4,248
63,4,252
65,1,65
66,3,198
68,1,68
69,1,69
71,1,71
72,1,72
73,2,146
74,1,74
76,2,152
77,2,154
78,2,156
79,1,79
83,2,166
84,1,84
85,1,85
86,1,86
87,1,87
88,1,88
92,2,184
93,1,93
94,1,94
96,1,96
99,1,99
101,1,101
104,1,104
107,1,107
108,1,108
115,1,115
116,1,116
119,1,119
121,1,121
127,1,127
131,1,131
135,1,135
140,1,140
141,2,282
152,1,152
155,1,155
157,1,157
158,1,158
159,1,159
165,1,165
201,1,201
202,1,202
218,1,218
236,1,236
242,1,242
248,1,248
269,1,269
286,1,286
288,1,288
318,1,318
321,1,321
336,1,336
379,1,379
395,1,395
520,2,1040
529,1,529
587,1,587
796,1,796
892,1,892
