2,904,1808
3,435,1305
4,320,1280
5,196,980
6,128,768
7,113,791
8,104,832
9,75,675
10,41,410
11,35,385
12,40,480
13,27,351
14,29,406
15,14,210
16,18,288
17,14,238
18,11,198
19,11,209
20,15,300
21,5,105
22,11,242
23,6,138
24,7,168
25,4,100
26,7,182
27,2,54
28,4,112
29,4,116
30,5,150
31,5,155
32,3,96
33,4,132
34,8,272
35,2,70
36,3,108
37,6,222
38,5,190
40,2,80
41,4,164
42,2,84
43,2,86
44,2,88
45,1,45
46,1,46
48,2,96
49,3,147
50,1,50
51,1,51
53,2,106
54,3,162
55,1,55
57,2,114
58,1,58
59,1,59
60,1,60
62,1,62
63,3,189
64,1,64
65,2,130
67,1,67
68,1,68
75,2,150
78,2,156
83,1,83
85,1,85
99,2,198
108,1,108
111,1,111
115,1,115
126,1,126
138,1,138
141,1,141
160,1,160
163,1,163
187,1,187
196,1,196
202,1,202
216,1,216
219,1,219
269,1,269
324,1,324
375,1,375
